,job_title,job_category,salary,experience_level,employment_type,work_setting,company_size
7520,Data Manager,Leadership and Management,98000,Mid-level,Full-time,In-person,M
7521,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7522,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7523,Data Analyst,Data Analysis,136000,Mid-level,Full-time,Remote,M
7524,Data Analyst,Data Analysis,112000,Mid-level,Full-time,Remote,M
7525,Data Scientist,Data Science and Research,172000,Senior,Full-time,Remote,M
7526,Data Scientist,Data Science and Research,140000,Senior,Full-time,Remote,M
7527,Data Engineer,Data Engineering,215000,Senior,Full-time,In-person,M
7528,Data Engineer,Data Engineering,164000,Senior,Full-time,In-person,M
7529,Data Engineer,Data Engineering,300000,Senior,Full-time,In-person,M
7530,Data Engineer,Data Engineering,130000,Senior,Full-time,In-person,M
7531,Data Engineer,Data Engineering,250000,Senior,Full-time,Remote,M
7532,Data Engineer,Data Engineering,63000,Senior,Full-time,Remote,M
7533,Data Engineer,Data Engineering,180000,Senior,Full-time,Remote,M
7534,Data Engineer,Data Engineering,150000,Senior,Full-time,Remote,M
7535,Data Engineer,Data Engineering,250000,Senior,Full-time,Remote,M
7536,Data Engineer,Data Engineering,63000,Senior,Full-time,Remote,M
7537,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7538,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7539,Data Analyst,Data Analysis,97500,Mid-level,Full-time,Remote,L
7540,Applied Scientist,Data Science and Research,212800,Senior,Full-time,Remote,M
7541,Applied Scientist,Data Science and Research,142800,Senior,Full-time,Remote,M
7542,Data Scientist,Data Science and Research,50000,Entry-level,Full-time,Hybrid,M
7543,Data Scientist,Data Science and Research,151800,Senior,Full-time,In-person,M
7544,Data Scientist,Data Science and Research,130240,Senior,Full-time,In-person,M
7545,Analytics Engineer,Leadership and Management,165000,Senior,Full-time,Remote,M
7546,Analytics Engineer,Leadership and Management,140250,Senior,Full-time,Remote,M
7547,Data Engineer,Data Engineering,135000,Senior,Full-time,In-person,M
7548,Data Engineer,Data Engineering,115000,Senior,Full-time,In-person,M
7549,Data Scientist,Data Science and Research,179400,Senior,Full-time,Remote,M
7550,Data Scientist,Data Science and Research,154000,Senior,Full-time,Remote,M
7551,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7552,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7553,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7554,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7555,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7556,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7557,Financial Data Analyst,Data Analysis,75000,Mid-level,Full-time,In-person,M
7558,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7559,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7560,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7561,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7562,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7563,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7564,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7565,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7566,Data Scientist,Data Science and Research,191475,Senior,Full-time,In-person,M
7567,Data Scientist,Data Science and Research,141525,Senior,Full-time,In-person,M
7568,Data Analyst,Data Analysis,115000,Senior,Full-time,In-person,L
7569,Data Operations Analyst,Data Quality and Operations,81000,Senior,Full-time,Remote,M
7570,Data Operations Analyst,Data Quality and Operations,66000,Senior,Full-time,Remote,M
7571,Data Analyst,Data Analysis,46000,Entry-level,Full-time,Remote,L
7572,Data Engineer,Data Engineering,80000,Entry-level,Full-time,Remote,L
7573,Machine Learning Scientist,Machine Learning and AI,200000,Executive,Full-time,Remote,S
